Date,Close
1/2/2018,42.41
1/3/2018,42.58
1/4/2018,42.68
1/5/2018,43.23
1/8/2018,43.01
1/9/2018,42.99
1/10/2018,42.63
1/11/2018,42.51
1/12/2018,42.47
1/16/2018,42.99
1/17/2018,43.86
1/18/2018,43.68
1/19/2018,44.14
1/22/2018,44.28
1/23/2018,44.5
1/24/2018,44.59
1/25/2018,44.47
1/26/2018,44.42
1/29/2018,44.54
1/30/2018,44.34
1/31/2018,44.4
2/1/2018,45.87
2/2/2018,45.5
2/5/2018,43.94
2/6/2018,44.55
2/7/2018,44.05
2/8/2018,42.68
2/9/2018,42.14
2/12/2018,42.53
2/13/2018,42.8
2/14/2018,42.96
2/15/2018,44.08
2/16/2018,44.14
2/20/2018,43.76
2/21/2018,43.62
2/22/2018,43.51
2/23/2018,43.75
2/26/2018,44.77
2/27/2018,44.01
2/28/2018,43.9
3/1/2018,43.62
3/2/2018,44.42
3/5/2018,45.06
3/6/2018,45.57
3/7/2018,43.58
3/8/2018,44
3/9/2018,44.27
3/12/2018,44.39
3/13/2018,44.04
3/14/2018,43.88
3/15/2018,43.39
3/16/2018,43.19
3/19/2018,42.35
3/20/2018,42.35
3/21/2018,42.03
3/22/2018,41.05
3/23/2018,40.51
3/26/2018,41.33
3/27/2018,40.91
3/28/2018,40.59
3/29/2018,41.73
4/2/2018,40.71
4/3/2018,41.18
4/4/2018,42.07
4/5/2018,42.2
4/6/2018,41.48
4/9/2018,41.68
4/10/2018,41.74
4/11/2018,41.83
4/12/2018,42.03
4/13/2018,42.09
4/16/2018,42.23
4/17/2018,41.91
4/18/2018,41.99
4/19/2018,41.01
4/20/2018,40.11
4/23/2018,40.35
4/24/2018,39.77
4/25/2018,39.68
4/26/2018,39.77
4/27/2018,39.93
4/30/2018,39.5
5/1/2018,38.99
5/2/2018,37.89
5/3/2018,37.57
5/4/2018,38.9
5/7/2018,38.69
5/8/2018,38.58
5/9/2018,38.77
5/10/2018,39.1
5/11/2018,39.23
5/14/2018,39.22
5/15/2018,39.41
5/16/2018,39.52
5/17/2018,39.52
5/18/2018,39.65
5/21/2018,39.34
5/22/2018,39.43
5/23/2018,39.45
5/24/2018,39.56
5/25/2018,39.58
5/29/2018,39.33
5/30/2018,39.68
5/31/2018,39.27
