Date,Close
7/18/2019 16:00:00,55.23
7/19/2019 16:00:00,54.89
7/22/2019 16:00:00,54.64
7/23/2019 16:00:00,54.79
7/24/2019 16:00:00,54.42
7/25/2019 16:00:00,54.41
7/26/2019 16:00:00,54.81
7/29/2019 16:00:00,54.86
7/30/2019 16:00:00,54.81
7/31/2019 16:00:00,53.49
8/1/2019 16:00:00,53.63
8/2/2019 16:00:00,53.76
8/5/2019 16:00:00,52.22
8/6/2019 16:00:00,52.83
8/7/2019 16:00:00,53.42
8/8/2019 16:00:00,54.95
8/9/2019 16:00:00,54.69
8/12/2019 16:00:00,54.25
8/13/2019 16:00:00,54.57
8/14/2019 16:00:00,53.2
8/15/2019 16:00:00,53.78
8/16/2019 16:00:00,54.54
8/19/2019 16:00:00,54.56
8/20/2019 16:00:00,53.99
8/21/2019 16:00:00,54.3
8/22/2019 16:00:00,54.51
8/23/2019 16:00:00,53.63
8/26/2019 16:00:00,54.46
8/27/2019 16:00:00,54.42
8/28/2019 16:00:00,54.88
8/29/2019 16:00:00,55.28
8/30/2019 16:00:00,55.22
9/3/2019 16:00:00,55.64
9/4/2019 16:00:00,56.2
9/5/2019 16:00:00,56.14
9/6/2019 16:00:00,56.63
9/9/2019 16:00:00,56.48
9/10/2019 16:00:00,54.33
9/11/2019 16:00:00,54.51
9/12/2019 16:00:00,54.81
9/13/2019 16:00:00,54.08
9/16/2019 16:00:00,54.05
9/17/2019 16:00:00,54.7
9/18/2019 16:00:00,54.72
9/19/2019 16:00:00,55.04
9/20/2019 16:00:00,54.65
9/23/2019 16:00:00,54.61
9/24/2019 16:00:00,55.05
9/25/2019 16:00:00,55.19
9/26/2019 16:00:00,55.69
9/27/2019 16:00:00,55.39
9/30/2019 16:00:00,55.32
10/1/2019 16:00:00,54.64
10/2/2019 16:00:00,53.98
10/3/2019 16:00:00,54.52
10/4/2019 16:00:00,55.98
10/7/2019 16:00:00,55.07
10/8/2019 16:00:00,54.56
10/9/2019 16:00:00,54.95
10/10/2019 16:00:00,55.41
10/11/2019 16:00:00,54.82
10/14/2019 16:00:00,54.22
10/15/2019 16:00:00,54.04
10/16/2019 16:00:00,54.27
10/17/2019 16:00:00,54.63
10/18/2019 16:00:00,54.48
10/21/2019 16:00:00,53.57
10/22/2019 16:00:00,52.71
10/23/2019 16:00:00,52.65
10/24/2019 16:00:00,53.04
10/25/2019 16:00:00,52.77
10/28/2019 16:00:00,52.41
10/29/2019 16:00:00,52.83
10/30/2019 16:00:00,52.03
10/31/2019 16:00:00,52.45
11/1/2019 16:00:00,52.03
11/4/2019 16:00:00,51.74
11/5/2019 16:00:00,51.7
11/6/2019 16:00:00,52.22
11/7/2019 16:00:00,51.74
11/8/2019 16:00:00,51.73
11/11/2019 16:00:00,51.8
11/12/2019 16:00:00,52.07
11/13/2019 16:00:00,52.7
11/14/2019 16:00:00,52.9
11/15/2019 16:00:00,52.82
11/18/2019 16:00:00,53.08
11/19/2019 16:00:00,52.71
11/20/2019 16:00:00,52.41
11/21/2019 16:00:00,52.07
11/22/2019 16:00:00,51.8
11/25/2019 16:00:00,52.04
11/26/2019 16:00:00,52.62
11/27/2019 16:00:00,52.73
11/29/2019 13:00:00,52.54
12/2/2019 16:00:00,52.84
12/3/2019 16:00:00,53.13
12/4/2019 16:00:00,53.34
12/5/2019 16:00:00,53.81
12/6/2019 16:00:00,53.84
12/9/2019 16:00:00,54.17
12/10/2019 16:00:00,54.06
12/11/2019 16:00:00,53.93
12/12/2019 16:00:00,52.98
12/13/2019 16:00:00,53.24
12/16/2019 16:00:00,53.71
12/17/2019 16:00:00,54.09
12/18/2019 16:00:00,54.53
12/19/2019 16:00:00,55.15
12/20/2019 16:00:00,55.4
12/23/2019 16:00:00,54.73
